store_id,상호명,주소,위도,경도,카테고리,세부카테고리,메뉴정보,영업시간,가게소개,주차가능여부,최대수용인원,편의시설,평점,리뷰수
1011,휘경 왕족발,서울 동대문구 휘경로 2,37.5872,127.0621,한식,족발,"[{""메뉴명"": ""왕족발 (대)"", ""가격"": 38000}, {""메뉴명"": ""쟁반국수"", ""가격"": 14000}]","{""평일"": ""16:00-24:00"", ""주말"": ""16:00-24:00""}","매일 직접 삶아 부드러운 족발. 혼자서 간단히 먹을 수 있는 1인 세트 메뉴도 인기.",불가,20,"[""1인석""]",4.8,482
1012,달콤한 하루,서울 송파구 석촌호수로 220,37.5100,127.1033,베이커리,디저트카페,"[{""메뉴명"": ""마카롱"", ""가격"": 2800}, {""메뉴명"": ""다쿠아즈"", ""가격"": 3200}]","{""평일"": ""11:00-20:00"", ""주말"": ""휴무""}","수제 마카롱과 다쿠아즈 전문점. 단체 주문 가능.",공영주차장 이용,15,"[""와이파이""]",4.9,150
1013,어썸로즈,서울 강남구 역삼동 812-3,37.5001,127.0272,양식,이탈리안,"[{""메뉴명"": ""스테이크"", ""가격"": 45000}, {""메뉴명"": ""로제 파스타"", ""가격"": 18000}]","{""평일"": ""12:00-22:00"", ""주말"": ""12:00-22:00""}","분위기 좋은 데이트 장소로 유명한 강남역 맛집. 와인 리스트 다양.",발렛파킹,40,"[""와이파이"", ""예약가능""]",4.6,765
1014,제주은희네해장국,서울 용산구 한강대로 288,37.5342,126.9729,한식,해장국,"[{""메뉴명"": ""해장국"", ""가격"": 10000}, {""메뉴명"": ""내장탕"", ""가격"": 11000}]","{""평일"": ""08:00-22:00"", ""주말"": ""08:00-22:00""}","제주 본점의 맛 그대로. 24시간 든든한 한 끼. 혼밥하기 좋은 곳.",가능 (4대),60,"[""단체석"", ""바 테이블""]",4.5,982
1015,프릳츠,서울 마포구 도화동 179-9,37.5412,126.9472,카페,베이커리카페,"[{""메뉴명"": ""아메리카노"", ""가격"": 4800}, {""메뉴명"": ""크루아상"", ""가격"": 3500}]","{""평일"": ""08:00-22:00"", ""주말"": ""10:00-22:00""}","레트로 감성의 한옥을 개조한 베이커리 카페. 직접 로스팅한 원두 사용.",불가,80,"[""와이파이"", ""콘센트"", ""테라스""]",4.7,2143
1016,산지애,서울 송파구 양재대로 932,37.4981,127.1245,우리 농산물,산지직송,"[{""메뉴명"": ""친환경 사과즙 (1박스)"", ""가격"": 25000}, {""메뉴명"": ""제철 꾸러미"", ""가격"": 30000}]","{""평일"": ""09:00-19:00"", ""주말"": ""휴무""}","믿을 수 있는 농산물 직거래 장터.",가능 (10대),20,"[]",4.9,201
1017,다운타우너,서울 용산구 이태원로42길 28-4,37.5348,126.9934,양식,수제버거,"[{""메뉴명"": ""아보카도 버거"", ""가격"": 9800}, {""메뉴명"": ""치즈 프라이"", ""가격"": 5800}]","{""평일"": ""11:30-21:30"", ""주말"": ""11:30-21:30""}","수요미식회에 방영된 아보카도 버거 맛집. 혼자서 간단히 먹기 좋은 바 테이블 있음.",불가,40,"[""와이파이"", ""바 테이블""]",4.4,2876
1018,진미평양냉면,서울 강남구 논현동 64-2,37.5097,127.0343,한식,냉면,"[{""메뉴명"": ""평양냉면"", ""가격"": 14000}, {""메뉴명"": ""어복쟁반"", ""가격"": 60000}]","{""평일"": ""11:00-21:30"", ""주말"": ""11:00-21:30""}","미쉐린 가이드 선정. 7명 이상 단체석 예약 가능. 아이들과 함께 오기 좋은 식당.",발렛파킹,120,"[""단체석"", ""장애인 편의시설"", ""예약가능"", ""유아의자""]",4.6,1502
1019,블루보틀,서울 성동구 아차산로 7,37.5433,127.0454,카페,로스터리카페,"[{""메뉴명"": ""뉴올리언스"", ""가격"": 6100}, {""메뉴명"": ""놀라 플로트"", ""가격"": 7200}]","{""평일"": ""08:00-20:00"", ""주말"": ""08:00-20:00""}","성수동의 핫플레이스. 스페셜티 커피를 미니멀한 공간에서 즐겨보세요.",불가,50,"[""와이파이""]",4.3,1888
1020,마포 진짜원조 최대포,서울 마포구 공덕동 255-5,37.5447,126.9538,한식,고기구이,"[{""메뉴명"": ""돼지갈비"", ""가격"": 17000}, {""메뉴명"": ""소금구이"", ""가격"": 16000}]","{""평일"": ""11:30-23:00"", ""주말"": ""11:30-23:00""}","1956년부터 이어져온 마포 돼지갈비의 원조. 가족 외식 장소로 추천.",공영주차장 이용,80,"[""단체석"", ""유아의자""]",4.5,1342
1021,카페꼼마,서울 마포구 동교동 155-27,37.5574,126.9248,카페,북카페,"[{""메뉴명"": ""아메리카노"", ""가격"": 5000}, {""메뉴명"": ""유자차"", ""가격"": 6000}]","{""평일"": ""09:00-24:00"", ""주말"": ""10:00-24:00""}","책과 함께하는 편안한 휴식 공간. 혼자서 간단히 시간 보내기 좋습니다.",불가,150,"[""와이파이"", ""콘센트"", ""단체석"", ""1인석""]",4.6,1109
1022,홍박사생고기,서울 성북구 동소문로20길 20,37.5891,127.0175,한식,고기구이,"[{""메뉴명"": ""생삼겹살"", ""가격"": 15000}, {""메뉴명"": ""김치찌개"", ""가격"": 8000}]","{""평일"": ""17:00-01:00"", ""주말"": ""17:00-01:00""}","두툼한 생고기와 맛있는 김치찌개가 인기인 동네 맛집.",불가,30,"[]",4.8,245
1023,어니언,서울 성동구 아차산로9길 8,37.5423,127.0578,카페,베이커리카페,"[{""메뉴명"": ""팡도르"", ""가격"": 5500}, {""메뉴명"": ""아메리카노"", ""가격"": 5000}]","{""평일"": ""08:00-22:00"", ""주말"": ""10:00-22:00""}","폐공장을 개조한 독특한 인테리어의 성수동 대표 카페.",불가,120,"[""와이파이"", ""루프탑""]",4.4,2311
1024,신선유통,경기 가평군 설악면 유명로 123,37.6692,127.4818,우리 농산물,산지직송,"[{""메뉴명"": ""가평 잣 (500g)"", ""가격"": 35000}, {""메뉴명"": ""유정란 (30구)"", ""가격"": 12000}]","{""평일"": ""09:00-18:00"", ""주말"": ""09:00-18:00""}","가평의 특산물인 잣과 신선한 농산물을 판매합니다.",가능 (15대),30,"[]",4.9,321
1025,금돼지식당,서울 중구 다산로 149,37.5619,127.0142,한식,고기구이,"[{""메뉴명"": ""본삼겹"", ""가격"": 18000}, {""메뉴명"": ""등목살"", ""가격"": 17000}]","{""평일"": ""12:00-24:00"", ""주말"": ""12:00-24:00""}","미쉐린 가이드 빕구르망 선정. 육즙 가득한 돼지고기 맛집. 아이들과 함께 가기 좋은 식당.",발렛파킹,70,"[""단체석"", ""유아의자""]",4.5,2998
1026,도산맘마,서울 강남구 도산대로49길 16,37.5229,127.0378,한식,퓨전한식,"[{""메뉴명"": ""솥밥"", ""가격"": 18000}, {""메뉴명"": ""육회"", ""가격"": 32000}]","{""평일"": ""11:30-22:00"", ""주말"": ""11:30-22:00""}","압구정에서 즐기는 정갈한 퓨전 한식. 혼밥하기 좋은 바 테이블 보유.",발렛파킹,50,"[""와이파이"", ""바 테이블"", ""예약가능""]",4.7,654
1027,카멜커피,서울 성동구 성덕정11길 6,37.5471,127.0519,카페,로스터리카페,"[{""메뉴명"": ""카멜커피"", ""가격"": 5500}, {""메뉴명"": ""앙버터"", ""가격"": 4500}]","{""평일"": ""11:00-21:00"", ""주말"": ""11:00-21:00""}","성수동의 작은 골목에 위치한 시그니처 크림 커피 맛집.",불가,15,"[]",4.6,1321
1028,명동교자,서울 중구 명동10길 29,37.5629,126.9845,한식,칼국수,"[{""메뉴명"": ""칼국수"", ""가격"": 10000}, {""메뉴명"": ""만두"", ""가격"": 11000}]","{""평일"": ""10:30-21:30"", ""주말"": ""10:30-21:30""}","명동의 터줏대감. 혼자서 간단히 식사하기 좋음.",불가,150,"[""단체석"", ""1인석""]",4.5,5892
1029,대성리 S-OIL,경기 가평군 청평면 경춘로 45,37.7121,127.3998,편의점,주유소,"[{""메뉴명"": ""휘발유 (1L)"", ""가격"": 1750}, {""메뉴명"": ""생수"", ""가격"": 900}]","{""평일"": ""00:00-24:00"", ""주말"": ""00:00-24:00""}","소노펠리체 델피노 가는 길목에 위치한 주유소 및 편의점.",가능 (20대),20,"[""장애인 편의시설""]",4.2,55
1030,속초 생대구,강원 속초시 영랑해안길 21,38.2173,128.5959,한식,생선요리,"[{""메뉴명"": ""생대구탕"", ""가격"": 18000}, {""메뉴명"": ""알 추가"", ""가격"": 5000}]","{""평일"": ""09:00-20:00"", ""주말"": ""09:00-20:00""}","싱싱한 생물 대구로 끓여 시원하고 칼칼한 국물이 일품. 아이들과 함께 오기 좋은 식당.",공영주차장 이용,60,"[""단체석"", ""유아의자""]",4.7,789
